algorithm,training_seed,evaluation_episode,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,total_reward,outage_count,constraint_violation_count,trajectory_length
TD3,0,0,3802141.148780482,7604282.297560964,13407559.22115519,232.88419605531192,11295.234516970904,284.3140128798136,0,81,100
TD3,0,1,3802141.148780482,7604282.297560964,13407559.22115519,232.88419605531192,11295.234516970904,284.3140128798136,0,81,100
TD3,0,2,3802141.148780482,7604282.297560964,13407559.22115519,232.88419605531192,11295.234516970904,284.3140128798136,0,81,100
TD3,0,3,3802141.148780482,7604282.297560964,13407559.22115519,232.88419605531192,11295.234516970904,284.3140128798136,0,81,100
TD3,0,4,3802141.148780482,7604282.297560964,13407559.22115519,232.88419605531192,11295.234516970904,284.3140128798136,0,81,100
TD3,1,0,4917049.812321804,9834099.624643609,11077053.510227252,1300.2221393236239,2741.734031979747,401.42660184263093,0,86,100
TD3,1,1,4917049.812321804,9834099.624643609,11077053.510227252,1300.2221393236239,2741.734031979747,401.42660184263093,0,86,100
TD3,1,2,4917049.812321804,9834099.624643609,11077053.510227252,1300.2221393236239,2741.734031979747,401.42660184263093,0,86,100
TD3,1,3,4917049.812321804,9834099.624643609,11077053.510227252,1300.2221393236239,2741.734031979747,401.42660184263093,0,86,100
TD3,1,4,4917049.812321804,9834099.624643609,11077053.510227252,1300.2221393236239,2741.734031979747,401.42660184263093,0,86,100
TD3,2,0,4912554.771179421,9825109.542358842,11530441.140115613,1292.7820910829355,3595.445509702143,399.9514392494137,0,86,100
TD3,2,1,4912554.771179421,9825109.542358842,11530441.140115613,1292.7820910829355,3595.445509702143,399.9514392494137,0,86,100
TD3,2,2,4912554.771179421,9825109.542358842,11530441.140115613,1292.7820910829355,3595.445509702143,399.9514392494137,0,86,100
TD3,2,3,4912554.771179421,9825109.542358842,11530441.140115613,1292.7820910829355,3595.445509702143,399.9514392494137,0,86,100
TD3,2,4,4912554.771179421,9825109.542358842,11530441.140115613,1292.7820910829355,3595.445509702143,399.9514392494137,0,86,100
DDPG,0,0,3329788.2211243175,6659576.442248635,12801404.312489135,137.44529049092253,12952.91992888162,221.29784068648405,0,95,100
DDPG,0,1,3329788.2211243175,6659576.442248635,12801404.312489135,137.44529049092253,12952.91992888162,221.29784068648405,0,95,100
DDPG,0,2,3329788.2211243175,6659576.442248635,12801404.312489135,137.44529049092253,12952.91992888162,221.29784068648405,0,95,100
DDPG,0,3,3329788.2211243175,6659576.442248635,12801404.312489135,137.44529049092253,12952.91992888162,221.29784068648405,0,95,100
DDPG,0,4,3329788.2211243175,6659576.442248635,12801404.312489135,137.44529049092253,12952.91992888162,221.29784068648405,0,95,100
DDPG,1,0,4916945.930898663,9833891.861797325,11078344.39855199,1300.3766466146046,2746.5402443666167,401.41327243694116,0,86,100
DDPG,1,1,4916945.930898663,9833891.861797325,11078344.39855199,1300.3766466146046,2746.5402443666167,401.41327243694116,0,86,100
DDPG,1,2,4916945.930898663,9833891.861797325,11078344.39855199,1300.3766466146046,2746.5402443666167,401.41327243694116,0,86,100
DDPG,1,3,4916945.930898663,9833891.861797325,11078344.39855199,1300.3766466146046,2746.5402443666167,401.41327243694116,0,86,100
DDPG,1,4,4916945.930898663,9833891.861797325,11078344.39855199,1300.3766466146046,2746.5402443666167,401.41327243694116,0,86,100
DDPG,2,0,4899484.80019939,9798969.60039878,11557263.181407304,1277.0196078629065,3681.4695686811233,401.53888167981404,0,83,100
DDPG,2,1,4899484.80019939,9798969.60039878,11557263.181407304,1277.0196078629065,3681.4695686811233,401.53888167981404,0,83,100
DDPG,2,2,4899484.80019939,9798969.60039878,11557263.181407304,1277.0196078629065,3681.4695686811233,401.53888167981404,0,83,100
DDPG,2,3,4899484.80019939,9798969.60039878,11557263.181407304,1277.0196078629065,3681.4695686811233,401.53888167981404,0,83,100
DDPG,2,4,4899484.80019939,9798969.60039878,11557263.181407304,1277.0196078629065,3681.4695686811233,401.53888167981404,0,83,100
SAC,0,0,4898466.033861757,9796932.067723515,11517811.786000505,1280.6597938695763,3715.6660847349303,397.50386090665415,0,87,100
SAC,0,1,4898466.033861757,9796932.067723515,11517811.786000505,1280.6597938695763,3715.6660847349303,397.50386090665415,0,87,100
SAC,0,2,4898466.033861757,9796932.067723515,11517811.786000505,1280.6597938695763,3715.6660847349303,397.50386090665415,0,87,100
SAC,0,3,4898466.033861757,9796932.067723515,11517811.786000505,1280.6597938695763,3715.6660847349303,397.50386090665415,0,87,100
SAC,0,4,4898466.033861757,9796932.067723515,11517811.786000505,1280.6597938695763,3715.6660847349303,397.50386090665415,0,87,100
SAC,1,0,4120312.996172258,8240625.992344516,11538602.150339553,783.1320700246948,4015.202845498097,331.5016712165638,0,71,100
SAC,1,1,4120312.996172258,8240625.992344516,11538602.150339553,783.1320700246948,4015.202845498097,331.5016712165638,0,71,100
SAC,1,2,4120312.996172258,8240625.992344516,11538602.150339553,783.1320700246948,4015.202845498097,331.5016712165638,0,71,100
SAC,1,3,4120312.996172258,8240625.992344516,11538602.150339553,783.1320700246948,4015.202845498097,331.5016712165638,0,71,100
SAC,1,4,4120312.996172258,8240625.992344516,11538602.150339553,783.1320700246948,4015.202845498097,331.5016712165638,0,71,100
SAC,2,0,4689300.330675912,9378600.661351824,11293525.744985647,1133.3612319055478,3425.7594669914715,392.96695869812555,0,70,100
SAC,2,1,4689300.330675912,9378600.661351824,11293525.744985647,1133.3612319055478,3425.7594669914715,392.96695869812555,0,70,100
SAC,2,2,4689300.330675912,9378600.661351824,11293525.744985647,1133.3612319055478,3425.7594669914715,392.96695869812555,0,70,100
SAC,2,3,4689300.330675912,9378600.661351824,11293525.744985647,1133.3612319055478,3425.7594669914715,392.96695869812555,0,70,100
SAC,2,4,4689300.330675912,9378600.661351824,11293525.744985647,1133.3612319055478,3425.7594669914715,392.96695869812555,0,70,100
RandomPolicy,-1,0,1796106.1970523107,3592212.3941046214,14618720.682446713,11.122899635705915,29304.26922853599,148.85491500949556,0,0,100
RandomPolicy,-1,1,1682344.9245396303,3364689.8490792606,14838562.099364202,9.49430936611821,30664.206107528717,136.19604475958565,0,0,100
RandomPolicy,-1,2,1569408.333334761,3138816.666669522,15445215.857341073,7.843882294241552,55788.84806897733,114.34199314644303,0,9,100
RandomPolicy,-1,3,1654452.7521455877,3308905.5042911754,14861056.999117794,8.956662276845773,31021.293478322186,133.17366101423312,0,0,100
RandomPolicy,-1,4,1953240.7656914296,3906481.531382859,14544585.41809677,15.956778443627673,32609.454439935205,166.01232041571544,0,0,100
StaticRelayPolicy,-1,0,1746559.4043063342,3493118.8086126684,14644726.562488772,10.259874235952203,25614.449047363833,143.9146712067716,0,0,100
StaticRelayPolicy,-1,1,1746559.4043063342,3493118.8086126684,14644726.562488772,10.259874235952203,25614.449047363833,143.9146712067716,0,0,100
StaticRelayPolicy,-1,2,1746559.4043063342,3493118.8086126684,14644726.562488772,10.259874235952203,25614.449047363833,143.9146712067716,0,0,100
StaticRelayPolicy,-1,3,1746559.4043063342,3493118.8086126684,14644726.562488772,10.259874235952203,25614.449047363833,143.9146712067716,0,0,100
StaticRelayPolicy,-1,4,1746559.4043063342,3493118.8086126684,14644726.562488772,10.259874235952203,25614.449047363833,143.9146712067716,0,0,100
MidpointPolicy,-1,0,2981117.0676559405,5962234.135311881,8396537.843587799,65.57230183837962,1050.3568492082954,195.02430044495387,0,94,100
MidpointPolicy,-1,1,2981117.0676559405,5962234.135311881,8396537.843587799,65.57230183837962,1050.3568492082954,195.02430044495387,0,94,100
MidpointPolicy,-1,2,2981117.0676559405,5962234.135311881,8396537.843587799,65.57230183837962,1050.3568492082954,195.02430044495387,0,94,100
MidpointPolicy,-1,3,2981117.0676559405,5962234.135311881,8396537.843587799,65.57230183837962,1050.3568492082954,195.02430044495387,0,94,100
MidpointPolicy,-1,4,2981117.0676559405,5962234.135311881,8396537.843587799,65.57230183837962,1050.3568492082954,195.02430044495387,0,94,100
HorizontalMidpointPolicy,-1,0,1722315.499310669,3444630.998621338,15652977.283083403,9.887863972903595,51636.69130017767,140.22417994881758,0,0,100
HorizontalMidpointPolicy,-1,1,1722315.499310669,3444630.998621338,15652977.283083403,9.887863972903595,51636.69130017767,140.22417994881758,0,0,100
HorizontalMidpointPolicy,-1,2,1722315.499310669,3444630.998621338,15652977.283083403,9.887863972903595,51636.69130017767,140.22417994881758,0,0,100
HorizontalMidpointPolicy,-1,3,1722315.499310669,3444630.998621338,15652977.283083403,9.887863972903595,51636.69130017767,140.22417994881758,0,0,100
HorizontalMidpointPolicy,-1,4,1722315.499310669,3444630.998621338,15652977.283083403,9.887863972903595,51636.69130017767,140.22417994881758,0,0,100
GreedyRatePolicy,-1,0,2415220.409179593,4830440.818359186,10743201.695922036,27.791562854899013,2156.349768534186,222.51476575740514,0,0,100
GreedyRatePolicy,-1,1,2415220.409179593,4830440.818359186,10743201.695922036,27.791562854899013,2156.349768534186,222.51476575740514,0,0,100
GreedyRatePolicy,-1,2,2415220.409179593,4830440.818359186,10743201.695922036,27.791562854899013,2156.349768534186,222.51476575740514,0,0,100
GreedyRatePolicy,-1,3,2415220.409179593,4830440.818359186,10743201.695922036,27.791562854899013,2156.349768534186,222.51476575740514,0,0,100
GreedyRatePolicy,-1,4,2415220.409179593,4830440.818359186,10743201.695922036,27.791562854899013,2156.349768534186,222.51476575740514,0,0,100
BalancedLinkPolicy,-1,0,3416483.4826211524,6835760.23053878,7906807.148494948,131.64294892243961,977.3266430458602,337.1707371889025,0,1,100
BalancedLinkPolicy,-1,1,3416483.4826211524,6835760.23053878,7906807.148494948,131.64294892243961,977.3266430458602,337.1707371889025,0,1,100
BalancedLinkPolicy,-1,2,3416483.4826211524,6835760.23053878,7906807.148494948,131.64294892243961,977.3266430458602,337.1707371889025,0,1,100
BalancedLinkPolicy,-1,3,3416483.4826211524,6835760.23053878,7906807.148494948,131.64294892243961,977.3266430458602,337.1707371889025,0,1,100
BalancedLinkPolicy,-1,4,3416483.4826211524,6835760.23053878,7906807.148494948,131.64294892243961,977.3266430458602,337.1707371889025,0,1,100
